 IDENTIFIER |    starttime     | pa  |  da | NoPA| SuPA|   v  |  dv  | minv | maxv
 C200901.07 | 2009/01/14 10:49 | 089 | 050 | 064 | 114 | 0363 | 0045 | 0337 | 0478
 C200901.08 | 2009/01/22 05:29 | 093 | 046 | 070 | 116 | 0347 | 0048 | 0258 | 0431
 C200901.09 | 2009/01/22 06:49 | 052 | 012 | 046 | 058 | 0407 | 0033 | 0354 | 0442
 C200902.01 | 2009/02/05 19:29 | 103 | 018 | 094 | 112 | 0304 | 0024 | 0281 | 0361
 C200902.02 | 2009/02/11 07:29 | 093 | 038 | 074 | 112 | 0257 | 0023 | 0221 | 0307
 C200902.03 | 2009/02/12 12:49 | 086 | 016 | 078 | 094 | 0321 | 0044 | 0218 | 0361
 C200902.04 | 2009/02/13 12:49 | 088 | 032 | 072 | 104 | 0334 | 0036 | 0297 | 0407
 C200902.05 | 2009/02/15 06:09 | 079 | 018 | 070 | 088 | 0297 | 0011 | 0285 | 0316
 C200902.06 | 2009/02/18 16:49 | 077 | 046 | 054 | 100 | 0351 | 0046 | 0264 | 0442
 C200902.07 | 2009/02/27 16:49 | 092 | 016 | 084 | 100 | 0276 | 0020 | 0240 | 0313
 C200903.01 | 2009/03/03 02:49 | 087 | 026 | 074 | 100 | 0410 | 0076 | 0301 | 0553
 C200903.02 | 2009/03/08 00:49 | 095 | 030 | 080 | 110 | 0235 | 0033 | 0143 | 0262
 C200903.03 | 2009/03/17 00:49 | 072 | 020 | 062 | 082 | 0365 | 0025 | 0310 | 0407
 C200903.04 | 2009/03/18 14:09 | 076 | 044 | 054 | 098 | 0258 | 0042 | 0231 | 0354
 C200903.05 | 2009/03/24 17:29 | 088 | 016 | 080 | 096 | 0228 | 0034 | 0176 | 0268
 C200903.06 | 2009/03/31 18:49 | 088 | 024 | 076 | 100 | 0525 | 0106 | 0393 | 0708 (dup. C200904.01)
 C200904.01 | 2009/03/31 20:09 | 091 | 030 | 076 | 106 | 0416 | 0078 | 0297 | 0590 (dup. C200903.06)
 C200904.02 | 2009/04/02 08:09 | 103 | 010 | 098 | 108 | 0260 | 0045 | 0189 | 0319
 C200904.03 | 2009/04/09 13:29 | 086 | 020 | 076 | 096 | 0229 | 0051 | 0173 | 0348
 C200904.04 | 2009/04/09 17:29 | 105 | 010 | 100 | 110 | 0316 | 0015 | 0300 | 0347
 C200904.05 | 2009/04/14 12:49 | 080 | 048 | 056 | 104 | 0284 | 0030 | 0237 | 0354
 C200904.06 | 2009/04/17 23:29 | 087 | 058 | 058 | 116 | 0302 | 0028 | 0242 | 0350
 C200904.07 | 2009/04/18 04:49 | 088 | 024 | 076 | 100 | 0195 | 0016 | 0167 | 0233
 C200904.08 | 2009/04/19 04:09 | 080 | 028 | 066 | 094 | 0330 | 0046 | 0221 | 0365
 C200904.09 | 2009/04/19 17:29 | 087 | 018 | 078 | 096 | 0285 | 0017 | 0240 | 0300
 C200904.10 | 2009/04/23 10:09 | 089 | 078 | 050 | 128 | 0261 | 0067 | 0139 | 0393
 C200905.01 | 2009/05/09 09:29 | 090 | 012 | 084 | 096 | 0252 | 0013 | 0234 | 0278
 C200905.02 | 2009/05/13 02:09 | 092 | 028 | 078 | 106 | 0228 | 0024 | 0183 | 0276
 C200905.03 | 2009/05/14 06:09 | 080 | 028 | 066 | 094 | 0245 | 0021 | 0204 | 0278
 C200905.04 | 2009/05/22 20:09 | 092 | 036 | 074 | 110 | 0340 | 0024 | 0292 | 0389
 C200905.05 | 2009/05/27 07:29 | 087 | 078 | 048 | 126 | 1864 | 0093 | 1686 | 1967
 C200906.01 | 2009/05/31 13:29 | 085 | 034 | 068 | 102 | 0284 | 0033 | 0242 | 0343 (dup. C200905.06)
 C200905.06 | 2009/05/31 14:09 | 085 | 034 | 068 | 102 | 0299 | 0031 | 0256 | 0357 (dup. C200906.01)
 C200906.02 | 2009/06/14 00:09 | 088 | 048 | 064 | 112 | 0268 | 0011 | 0249 | 0295
 C200906.03 | 2009/06/16 10:09 | 085 | 082 | 044 | 126 | 1864 | 0111 | 1609 | 1967
 C200906.04 | 2009/06/20 12:09 | 076 | 024 | 064 | 088 | 0243 | 0014 | 0221 | 0264
 C200906.05 | 2009/06/23 12:49 | 101 | 042 | 080 | 122 | 0357 | 0028 | 0307 | 0411
 C200906.06 | 2009/06/26 21:29 | 085 | 042 | 064 | 106 | 0261 | 0027 | 0197 | 0281
